.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,.,.,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
.,.,.,.,.,.,m,.,.,.,.,.,.,.,.,.,.,.,.,c,.,m,.,.,.,.,.,.,
.,.,.,.,.,m,.,.,C,.,.,.,.,.,.,.,.,m,.,m,.,m,.,.,.,.,.,.,
.,.,.,.,m,.,.,.,m,.,.,.,m,m,.,m,m,.,m,.,m,m,.,.,.,c,.,m,
m,.,m,m,.,.,.,.,.,m,s,m,.,.,.,.,.,.,.,.,.,.,m,m,m,m,.,m,d
m,m,m,m,.,.,.,.,.,.,m,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,m,.,m
